"filename", "language", "C++", "comment", "blank", "total"
"/Users/dan/Documents/GitHub/cpp-sandbox/2d-game/src/framework/GameEngine.cpp", "C++", 62, 2, 11, 75
"/Users/dan/Documents/GitHub/cpp-sandbox/2d-game/src/framework/GameEngine.h", "C++", 39, 18, 21, 78
"/Users/dan/Documents/GitHub/cpp-sandbox/2d-game/src/framework/file_io/AssetLoader.cpp", "C++", 56, 7, 13, 76
"/Users/dan/Documents/GitHub/cpp-sandbox/2d-game/src/framework/file_io/AssetLoader.h", "C++", 5, 0, 1, 6
"/Users/dan/Documents/GitHub/cpp-sandbox/2d-game/src/framework/graphics/Fonts.cpp", "C++", 105, 8, 22, 135
"/Users/dan/Documents/GitHub/cpp-sandbox/2d-game/src/framework/graphics/Fonts.h", "C++", 25, 13, 9, 47
"/Users/dan/Documents/GitHub/cpp-sandbox/2d-game/src/framework/graphics/GameFont.cpp", "C++", 14, 0, 2, 16
"/Users/dan/Documents/GitHub/cpp-sandbox/2d-game/src/framework/graphics/GameFont.h", "C++", 34, 0, 6, 40
"/Users/dan/Documents/GitHub/cpp-sandbox/2d-game/src/framework/graphics/GameImage.cpp", "C++", 23, 0, 6, 29
"/Users/dan/Documents/GitHub/cpp-sandbox/2d-game/src/framework/graphics/GameImage.h", "C++", 16, 6, 6, 28
"/Users/dan/Documents/GitHub/cpp-sandbox/2d-game/src/framework/graphics/Graphics.cpp", "C++", 83, 1, 14, 98
"/Users/dan/Documents/GitHub/cpp-sandbox/2d-game/src/framework/graphics/Graphics.h", "C++", 15, 35, 10, 60
"/Users/dan/Documents/GitHub/cpp-sandbox/2d-game/src/framework/graphics/Images.cpp", "C++", 44, 1, 6, 51
"/Users/dan/Documents/GitHub/cpp-sandbox/2d-game/src/framework/graphics/Images.h", "C++", 19, 22, 7, 48
"/Users/dan/Documents/GitHub/cpp-sandbox/2d-game/src/framework/state/GameState.h", "C++", 14, 7, 6, 27
"/Users/dan/Documents/GitHub/cpp-sandbox/2d-game/src/framework/util/StringUtil.h", "C++", 17, 0, 3, 20
"/Users/dan/Documents/GitHub/cpp-sandbox/2d-game/src/game/states/TestState.cpp", "C++", 32, 0, 5, 37
"/Users/dan/Documents/GitHub/cpp-sandbox/2d-game/src/game/states/TestState.h", "C++", 15, 2, 5, 22
"/Users/dan/Documents/GitHub/cpp-sandbox/2d-game/src/game/states/TitleState.cpp", "C++", 37, 0, 6, 43
"/Users/dan/Documents/GitHub/cpp-sandbox/2d-game/src/game/states/TitleState.h", "C++", 17, 2, 6, 25
"/Users/dan/Documents/GitHub/cpp-sandbox/2d-game/src/game/world/entity/Entity.h", "C++", 22, 0, 2, 24
"/Users/dan/Documents/GitHub/cpp-sandbox/2d-game/src/main.cpp", "C++", 32, 0, 14, 46
"Total", "-", 726, 124, 181, 1031